Session #,Trial,DateTime,Video #,TrialType,Player1,Player2,Choice1,Choice2,Choice,Condition,OtherReward,DictReward,OneChoice,OtherTrial,FixationPointFrame,FixationPointTime,FP:TO,TargetsOnFrame,TargetsOnTime,TO:GO,GO:Choice,ChoiceTimeFrame,ChoiceTime,Choice:RRS,Choice:DRS,RecipientRewardStartFrame,RecipientRewardStartTime,RRS:RRE,RecipientRewardEndFrame,RecipientRewardEndTime,RRE:DRS,DictatorRewardStartFrame,DictatorRewardStartTime,DRS:DRE,DictatorRewardEndFrame,DictatorRewardEndTime,RewardEndPrev,ITI,EndTrialFrame,EndTrialTime,Choice:ET,AvertedBeforeChoiceLong,AvertedBeforeChoiceShort,AvertedAfterChoiceFull,AvertedAfterChoiceBR,AvertedAfterChoiceAR,RewardAnticipationOther,RewardAnticipationSelf,RewardAnticipationBeforeLong,RewardAnticipationBeforeShort,RewardAnticipationAfterFull,RewardAnticipationAfterBR,RewardAnticipationDuringReward,RewardAnticipationAfterAR,StereoAvertBeforeLong,StereoAvertBeforeShort,StereoAvertAfterFull,StereoAvertAfterBR,StereoAvertAfterAR
1,0,231002_1149,1,Dual,Mufasa,Empty,0,2,High,4,2.0,2.0,,False,35.0,1.15319,0.5958253,52.0,1.7490153,0.5459431,5.3124543,228.0,7.6074127,1.2610732,3.330054,266.0,8.8684859,1.4522832,310.0,10.3207691,0.6166976,328.0,10.9374667,1.4264641,371.0,12.3639308,0.0,,404.0,13.482126,5.8747133,,0.928571429,0.088235294,,0.0,0.131578947,1.0,,0.511363636,0.8125,0.131578947,1.0,1.0,,,,,
1,1,231002_1149,1,Dual,Mufasa,Empty,2,0,Low,3,,0.0,,False,454.0,15.1249287,0.530518,470.0,15.6554467,0.5338498,6.2716856,674.0,22.4609821,,1.0525067,,,,,,,705.0,23.5134888,2.1212932,769.0,25.634782,371.0,2.7609979,803.0,26.754539,4.2935569,0.598039216,0.5,,,,,,0.475247525,0.220588235,0.860465116,,,,1.0,1.0,,,
1,2,231002_1149,1,Dual,Mufasa,Empty,0,2,,4,,,,False,846.0,28.2009942,0.5315379,862.0,28.7325321,0.7339975,,,,,,,,,,,,,,,,,769.0,2.5662122,1334.0,44.4629208,,,,,,,,,,,,,,,,,,,
1,3,231002_1149,1,Dual,Mufasa,Empty,2,0,High,3,2.0,2.0,,False,1372.0,45.7306579,0.5324062,1388.0,46.2630641,0.6339684,4.4387963,1540.0,51.3358288,1.2507738,3.3029745,1578.0,52.5866026,1.4331851,1621.0,54.0197877,0.6190156,1639.0,54.6388033,1.4215204,1682.0,56.0603237,1334.0,1.2677371,1715.0,57.1771361,5.8413073,0.59375,0.4,0.636363636,,0.0,1.0,0.0,0.32038835,0.434210526,0.234285714,1.0,0.069767442,0.02189781,,,1.0,,1.0
1,4,231002_1149,1,Dual,Mufasa,Empty,2,0,High,3,2.0,2.0,,False,1755.0,58.5089892,0.5310451,1771.0,59.0400343,0.6339266,4.5089787,1925.0,64.1829396,1.2470383,3.2994966,1963.0,65.4299779,1.4286336,2006.0,66.8586115,0.6238247,2024.0,67.4824362,1.4219977,2067.0,68.9044339,1682.0,2.4486655,2101.0,70.0214324,5.8384928,0.346534653,0.4,0.411764706,,0.2,0.0,0.0,0.485596708,0.707792208,0.0,0.0,0.0,0.0,,,0.388888889,,1.0
1,5,231002_1149,1,Dual,Mufasa,Empty,0,2,High,4,2.0,2.0,,False,2141.0,71.3823119,0.6350023,2161.0,72.0173142,0.5333365,11.9882443,2536.0,84.538895,1.2579289,3.3102964,2574.0,85.7968239,1.4282359,2617.0,87.2250598,0.6241316,2635.0,87.8491914,1.4190386,2678.0,89.26823,2067.0,2.477878,2712.0,90.3867269,5.8478319,0.555555556,0.470588235,0.823529412,,0.8,0.0,0.0,0.407249467,0.509333333,0.318181818,0.0,0.0,0.405797101,0.25,,,,
1,6,231002_1149,1,Dual,Mufasa,Empty,2,0,Low,3,,0.0,,False,2752.0,91.7313924,0.5348032,2768.0,92.2661956,0.634234,12.9290044,3175.0,105.829434,,1.0495517,,,,,,,3206.0,106.8789857,2.1213496,3270.0,109.0003353,2678.0,2.4631624,3304.0,110.1201582,4.2907242,0.6640625,0.844827586,,,,,,0.434607646,0.30958231,0.705426357,,,,0.14,0.14,,,
1,7,231002_1149,1,Dual,Mufasa,Empty,0,2,High,4,2.0,2.0,,False,3345.0,111.5139942,0.5345511,3361.0,112.0485453,0.5340473,0.5717242,3395.0,113.1543168,1.2492531,3.2840356,3432.0,114.4035699,1.4257195,3475.0,115.8292894,0.609063,3493.0,116.4383524,1.4200159,3536.0,117.8583683,3270.0,2.5136589,3569.0,118.9761851,5.8218683,,,0.875,,0.888888889,0.189189189,0.0,1.0,1.0,0.040229885,0.189189189,0.0,0.0,,,,,
1,8,231002_1149,1,Dual,Mufasa,Empty,0,2,,4,,,,False,3613.0,120.4209297,0.5346956,3629.0,120.9556253,,,,,,,,,,,,,,,,,,3536.0,2.5625614,0.0,,,,,,,,,,,,,,,,,,,,
1,9,231002_1149,1,Dual,Mufasa,Empty,2,0,High,3,2.0,2.0,,False,3863.0,128.7776405,0.5347523,3879.0,129.3123928,0.733911,2.5568593,3978.0,132.6031631,1.2473978,3.2833274,4016.0,133.8505609,1.4265479,4058.0,135.2771088,0.6093817,4077.0,135.8864905,1.4201387,4119.0,137.3066292,0.0,,4153.0,138.4246347,5.8214716,,,0.090909091,,0.333333333,0.0,1.0,,0.0,0.52,0.0,0.0,0.664233577,,,,,
1,10,231002_1149,1,Dual,Mufasa,Empty,0,2,High,4,2.0,2.0,,False,4191.0,139.7032943,0.5342878,4207.0,140.2375821,0.8341721,2.7408887,4314.0,143.8126429,1.2466544,3.2997182,4352.0,145.0592973,1.4314874,4395.0,146.4907847,0.6215764,4413.0,147.1123611,1.4192202,4456.0,148.5315813,4119.0,2.3966651,4489.0,149.6498489,5.837206,0.377358491,,0.393939394,,0.0,0.447368421,1.0,0.425641026,0.495327103,0.571428571,0.447368421,0.976744186,0.605839416,,,,,
