Session #,Trial,DateTime,Video #,TrialType,Player1,Player2,Choice1,Choice2,Choice,Condition,OtherReward,DictReward,OneChoice,OtherTrial,FixationPointFrame,FixationPointTime,FP:TO,TargetsOnFrame,TargetsOnTime,TO:GO,GO:Choice,ChoiceTimeFrame,ChoiceTime,Choice:RRS,Choice:DRS,RecipientRewardStartFrame,RecipientRewardStartTime,RRS:RRE,RecipientRewardEndFrame,RecipientRewardEndTime,RRE:DRS,DictatorRewardStartFrame,DictatorRewardStartTime,DRS:DRE,DictatorRewardEndFrame,DictatorRewardEndTime,RewardEndPrev,ITI,EndTrialFrame,EndTrialTime,Choice:ET,AvertedBeforeChoiceLong,AvertedBeforeChoiceShort,AvertedAfterChoiceFull,AvertedAfterChoiceBR,AvertedAfterChoiceAR,RewardAnticipationOther,RewardAnticipationSelf,RewardAnticipationBeforeLong,RewardAnticipationBeforeShort,RewardAnticipationAfterFull,RewardAnticipationAfterBR,RewardAnticipationDuringReward,RewardAnticipationAfterAR,StereoAvertBeforeLong,StereoAvertBeforeShort,StereoAvertAfterFull,StereoAvertAfterBR,StereoAvertAfterAR
1,0,230713_1227,1,Dual,Scar,Buba,4,0,High,5,,4.0,,False,22.0,1.1399129,0.5329047,33.0,1.6728176,0.6333654,5.7456713,159.0,8.0518543,,1.244703,,,,,,,183.0,9.2965573,1.4440643,212.0,10.7406216,0.0,,234.0,11.8702432,3.8183889,,0.684684685,0.014492754,0.055555556,0.0,,0.583333333,,0.03968254,0.746666667,0.583333333,1.0,0.823529412,,0.735632184,0.0,,0.0
1,1,230713_1227,1,Dual,Scar,Buba,0,2,High,10,2.0,3.0,,True,260.0,13.1969369,0.5346983,271.0,13.7316352,0.7342577,0.9259634,304.0,15.3918563,1.260642,4.122293,328.0,16.6524983,1.4356799,357.0,18.0881782,1.4259711,385.0,19.5141493,0.2709843,390.0,19.7851336,212.0,2.4563153,404.0,20.491417,5.0995607,0.097826087,0.181818182,0.32,0.5,0.263157895,0.875,0.285714286,0.152173913,0.0,0.48,0.875,0.413793103,0.355263158,0.640625,0.653846154,0.6,,0.571428571
1,2,230713_1227,1,Dual,Scar,Buba,0,2,High,4,,2.0,,False,431.0,21.8337894,0.5380192,441.0,22.3718086,0.6339916,3.0240488,513.0,26.029849,,1.2476844,,,,,,,538.0,27.2775334,1.4245629,566.0,28.7020963,390.0,2.0486558,588.0,29.8335398,3.8036908,0.739837398,0.694444444,0.25,0.409090909,0.18,,0.0,0.691056911,0.569444444,0.506666667,0.0,0.571428571,0.76,0.612903226,0.708333333,0.62962963,0.533333333,0.0
1,3,230713_1227,1,Dual,Scar,Buba,2,0,High,9,2.0,5.0,,True,615.0,31.1662123,0.5296524,625.0,31.6958647,0.5341982,1.5223083,666.0,33.7523712,1.2482477,4.1069132,690.0,35.0006189,1.430295,718.0,36.4309139,1.4283705,747.0,37.8592844,0.4512735,755.0,38.3105579,566.0,2.464116,769.0,39.0181555,5.2657843,0.626373626,0.71875,0.563106796,0.5,0.582278481,0.833333333,1.0,0.32,0.0,0.961165049,0.833333333,1.0,1.0,0.634615385,0.68,,,
1,4,230713_1227,1,Dual,Scar,Buba,0,4,High,6,,4.0,,False,796.0,40.3755151,0.5284449,807.0,40.90396,0.6332394,10.1136988,1019.0,51.6508982,,1.2476474,,,,,,,1043.0,52.8985456,1.4266478,1071.0,54.3251934,755.0,2.0649572,1094.0,55.4568285,3.8059303,0.524752475,0.597560976,0.266666667,0.5,0.156862745,,0.0,0.571969697,0.551886792,0.546666667,0.0,0.642857143,0.803921569,0.735632184,0.684931507,0.62962963,0.588235294,0.0
1,5,230713_1227,1,Dual,Scar,Buba,0,4,High,12,4.0,5.0,,True,1120.0,56.7769398,0.5224864,1130.0,57.2994262,0.7344559,0.939785,1163.0,58.9736671,1.2471084,4.1043876,1188.0,60.2207755,1.4395131,1216.0,61.6602886,1.4177661,1244.0,63.0780547,0.4509517,1253.0,63.5290064,1071.0,2.4517464,1268.0,64.3061806,5.3325135,0.260869565,0.515151515,0.32,0.15,0.3625,0.0,0.25,0.315217391,0.03030303,0.39047619,0.0,0.714285714,0.5125,0.660714286,0.68,0.634615385,0.461538462,0.59375
1,6,230713_1227,1,Dual,Scar,Buba,2,4,High,2,,4.0,,False,1294.0,65.6430047,0.5305603,1305.0,66.173565,0.6336046,2.4405422,1366.0,69.2477118,,1.2478878,,,,,,,1390.0,70.4955996,1.4258505,1418.0,71.9214501,1253.0,2.1139983,1444.0,73.244711,3.9969992,0.734513274,0.737704918,0.448717949,0.916666667,0.240740741,,0.0,0.778761062,0.606557377,0.512820513,0.0,0.5,0.740740741,0.611111111,0.588235294,0.612903226,0.588235294,0.142857143
1,7,230713_1227,1,Dual,Scar,Buba,4,2,,7,,,,True,1471.0,74.5981526,0.5321436,1482.0,75.1302962,,,,,,,,,,,,,,,,,,1418.0,2.6767025,0.0,,,,,,,,,,,,,,,,,,,,
1,8,230713_1227,1,Dual,Scar,Buba,4,2,High,1,,4.0,,False,1636.0,82.9412795,0.5290857,1646.0,83.4703652,0.5338416,1.4710166,1686.0,85.4752234,,1.2503826,,,,,,,1710.0,86.725606,1.4256583,1738.0,88.1512643,0.0,,1761.0,89.2813245,3.8061011,,0.708333333,0.28,0.125,0.352941176,,0.0,,0.325,0.64,0.0,0.892857143,0.941176471,,0.533333333,0.65,0.588235294,
1,9,230713_1227,1,Dual,Scar,Buba,4,0,High,11,4.0,7.0,,True,1786.0,90.5824892,0.5273042,1797.0,91.1097934,0.6339415,3.1389079,1871.0,94.8826428,1.2495274,4.1084635,1896.0,96.1321702,1.4379987,1924.0,97.5701689,1.4209374,1952.0,98.9911063,0.6309346,1965.0,99.6220409,1738.0,2.4312249,1983.0,100.5725176,5.6898748,0.637254902,0.720930233,0.289719626,0.15,0.32183908,0.56,0.714285714,0.30075188,0.0,0.830357143,0.56,1.0,0.908045977,0.654545455,0.583333333,0.142857143,,0.0
